/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
5.427326610395469e-09,3.144828493341219e-07,5.457661174587721e-09,3.156280267635966e-07,5.479762168791483e-09,1.303481739933878e-06,5.489514256033592e-09,1.411199270216147e-06,5.518883920009771e-09,0.0001872176309806334,5.427326610395469e-09,0.512791932474563,5.457661174587721e-09,0.5364917618815808,5.479762168791483e-09,0.5595243375829663,5.489514256033592e-09,0.5685427681007736,5.518883920009771e-09,0.7133035200586239
5.476044790546886e-09,1.040959866624668e-06,5.496548057289074e-09,2.550294152108952e-06,5.505872661751219e-09,5.957824431759591e-06,5.50105194708727e-09,8.419458246502415e-06,5.526571897461262e-09,0.0003744182471442296,5.476044790546886e-09,0.5712537486562625,5.496548057289074e-09,0.5948220859336114,5.505872661751219e-09,0.6117453235024369,5.50105194708727e-09,0.6031558412618101,5.526571897461262e-09,0.759431384767572
5.528745653790696e-09,4.472501221051163e-06,5.533964645685207e-09,1.28347946786492e-05,5.532288680200977e-09,2.995792925384635e-05,5.516548928959314e-09,2.790675903986085e-05,5.533239802770378e-09,0.0003993461507537363,5.528745653790696e-09,0.634494784548835,5.533964645685207e-09,0.6509469685278104,5.532288680200977e-09,0.6645773604019531,5.516548928959314e-09,0.6496467868779424,5.533239802770378e-09,0.7994388166222641
5.570003475175981e-09,2.541709209133578e-05,5.564233781751788e-09,5.018689637569775e-05,5.553911649487757e-09,9.03904117576233e-05,5.531774958126557e-09,0.0001024768001678673,5.541278875492821e-09,0.0001333820708495485,5.570003475175981e-09,0.6840041702111774,5.564233781751788e-09,0.6963506726276817,5.553911649487757e-09,0.707823298975514,5.531774958126557e-09,0.6953248743796702,5.541278875492821e-09,0.847673252956922
5.604060714004809e-09,-8.138477807179363e-05,5.591806995430112e-09,-7.241958092573587e-05,5.575890897269701e-09,-3.095312874098281e-05,5.545762189922157e-09,0.0001805500739870604,5.547076325738894e-09,-1.813451671321077e-05,5.604060714004809e-09,0.724872856805771,5.591806995430112e-09,0.7377104931451675,5.575890897269701e-09,0.7517817945394009,5.545762189922157e-09,0.7372865697664689,5.547076325738894e-09,0.8824579544333608
5.637976778098242e-09,-0.0001697764832621978,5.617596398118637e-09,-0.0001482317602204637,5.595536741588639e-09,-0.0001269343237125366,5.557167266453485e-09,5.805218392932284e-05,5.552070333833511e-09,-0.0001206999748630478,5.637976778098242e-09,0.7655721337178908,5.617596398118637e-09,0.7763945971779553,5.595536741588639e-09,0.7910734831772777,5.557167266453485e-09,0.7715017993604546,5.552070333833511e-09,0.9124220030010631
5.644404694622768e-09,-0.0001653051083876962,5.636217407448113e-09,-0.0001888072655928597,5.609300773793132e-09,-0.0001761309369148074,5.569256452464533e-09,-6.975061054208203e-05,5.55752288313093e-09,-0.0001950581171730309,5.644404694622768e-09,0.7732856335473209,5.636217407448113e-09,0.8043261111721687,5.609300773793132e-09,0.8186015475862639,5.569256452464533e-09,0.8077693573935988,5.55752288313093e-09,0.9451372987855748
5.657260527671818e-09,-0.0001909997819485008,5.650394682050127e-09,-0.0002280026784761466,5.620771059381718e-09,-0.0002202918124826489,5.577921317461569e-09,-0.0001336237048324548,5.563331478478749e-09,-0.00023969278870922,5.657260527671818e-09,0.7887126332061812,5.650394682050127e-09,0.8255920230751905,5.620771059381718e-09,0.8415421187634355,5.577921317461569e-09,0.8337639523847072,5.563331478478749e-09,0.9799888708724899
5.671878671543321e-09,-0.0002221551424887554,5.664028206391324e-09,-0.0002430224648676468,5.632032588105599e-09,-0.0002416967418456505,5.586291895500689e-09,-0.0001927110909731084,5.570118263920654e-09,-0.0002637037362109906,5.671878671543321e-09,0.8062544058519856,5.664028206391324e-09,0.8460423095869852,5.632032588105599e-09,0.8640651762111967,5.586291895500689e-09,0.8588756865020662,5.570118263920654e-09,1.020709583523921
5.68998254043097e-09,-0.0002391349974512394,5.67902318229264e-09,-0.0002473087241749582,5.644245030562407e-09,-0.0002513530442500492,5.594978181403552e-09,-0.0002302026547210655,5.578425564568571e-09,-0.0002725013457124716,5.68998254043097e-09,0.8279790485171635,5.67902318229264e-09,0.8685347734389591,5.644245030562407e-09,0.8884900611248125,5.594978181403552e-09,0.8849345442106537,5.578425564568571e-09,1.070553387411423
