/time (G=3) X,/time (G=3) Y,/time (G=5) X,/time (G=5) Y,/time (G=7) X,/time (G=7) Y,/time (G=9) X,/time (G=9) Y,/net6 (G=3) X,/net6 (G=3) Y,/net6 (G=5) X,/net6 (G=5) Y,/net6 (G=7) X,/net6 (G=7) Y,/net6 (G=9) X,/net6 (G=9) Y
2.308211327744516e-09,0.3125041559010969,2.322086126843366e-09,0.3045188020077131,2.307192581691001e-09,0.2987998128968022,2.306655292689529e-09,0.2874190074959583,2.308211327744516e-09,0.01449645985822216,2.322086126843366e-09,0.0270065724152189,2.307192581691001e-09,0.03279380928312874,2.306655292689529e-09,0.04180248255927539
2.320011316271872e-09,0.3118084450265856,2.336587260352157e-09,0.3012305698061253,2.325018475345512e-09,0.292346781421862,2.339136087085996e-09,0.2544776157780194,2.320011316271872e-09,0.01614041530049655,2.336587260352157e-09,0.03036669342870604,2.325018475345512e-09,0.03855096912464841,2.339136087085996e-09,0.05521860742967592
2.343611293326582e-09,0.3097973535810455,2.365589527369739e-09,0.2891327487049817,2.347399852280709e-09,0.2774743599354643,2.351157636085384e-09,0.2305284019639025,2.343611293326582e-09,0.01939577532280237,2.365589527369739e-09,0.03703709876089507,2.347399852280709e-09,0.04576033617331802,2.351157636085384e-09,0.06023161723591145
2.375695165575607e-09,0.3048781662299079,2.398890708705696e-09,0.2546755345199184,2.374992595071995e-09,0.2335470551366361,2.371252562654331e-09,0.1581201975994725,2.375695165575607e-09,0.02384030639611417,2.398890708705696e-09,0.04472500451471918,2.374992595071995e-09,0.05466834094285773,2.371252562654331e-09,0.06854892387999387
2.395481488452481e-09,0.2997455568955864,2.402152122279952e-09,0.2494546221528083,2.394919728751387e-09,0.1672534922568624,2.385487848502678e-09,0.0783155021488406,2.395481488452481e-09,0.02657296865517616,2.402152122279952e-09,0.04516950994882117,2.394919728751387e-09,0.06109496022080635,2.385487848502678e-09,0.07446531471852551
2.40046673948084e-09,0.2980711339775256,2.408674949428464e-09,0.2369264926644925,2.401642389767711e-09,0.1356926063121771,2.399262231947079e-09,-0.02058446423379724,2.40046673948084e-09,0.02722450183297583,2.408674949428464e-09,0.04559915002670697,2.401642389767711e-09,0.06292065094299164,2.399262231947079e-09,0.08017606824086361
2.40358445197872e-09,0.2969216996361617,2.415197776576975e-09,0.2212352990147063,2.405924771087766e-09,0.1130436840025353,2.402573972623267e-09,-0.0465972878319106,2.40358445197872e-09,0.02738460171550476,2.415197776576975e-09,0.0459643131630717,2.405924771087766e-09,0.06338202032171103,2.402573972623267e-09,0.08090593747397257
2.406702164476601e-09,0.2956863814749385,2.426442956415923e-09,0.1857913056951639,2.410207152407821e-09,0.08842933002023187,2.409197453975643e-09,-0.09592758086089066,2.406702164476601e-09,0.02749492985151194,2.426442956415923e-09,0.04661642831967445,2.410207152407821e-09,0.06372402735660564,2.409197453975643e-09,0.08167259516241483
2.412937589472362e-09,0.2929248456998887,2.442879663969894e-09,0.1145792817649663,2.418514719003438e-09,0.03533620506166218,2.416478730401653e-09,-0.138155094142781,2.412937589472362e-09,0.02771381846362099,2.442879663969894e-09,0.04756188857118667,2.418514719003438e-09,0.06440268410902307,2.416478730401653e-09,0.082427774135367
2.423219893371521e-09,0.2873733032387051,2.46836463493996e-09,-0.03269986652415453,2.428675918677905e-09,-0.03690707762711546,2.422760420761529e-09,-0.1607341877109296,2.423219893371521e-09,0.02806675470399624,2.46836463493996e-09,0.04902586243757035,2.428675918677905e-09,0.06522238413886816,2.422760420761529e-09,0.08308157403477813
