/net1 X,/net1 Y,/net7 X,/net7 Y,/time X,/time Y,/net20 X,/net20 Y,/net49 X,/net49 Y
2.745489239348004e-08,-0.001678864730350874,2.745489239348004e-08,0.2253561946954105,2.745489239348004e-08,-0.06866723481233501,2.745489239348004e-08,0.7475342059618136,2.745489239348004e-08,0.08421393209810064
2.746029796629867e-08,-0.001573151903887618,2.746029796629867e-08,0.1362331660155066,2.746029796629867e-08,-0.1147053375122092,2.746029796629867e-08,0.749579443343014,2.746029796629867e-08,0.08467888785094338
2.74662132347537e-08,-0.001290118020436942,2.74662132347537e-08,0.06803778691677538,2.74662132347537e-08,-0.1491389172519134,2.74662132347537e-08,0.7517914709502386,2.74662132347537e-08,0.0851876502381881
2.747156338394659e-08,-0.000980461512718096,2.747156338394659e-08,0.03311408490303008,2.747156338394659e-08,-0.1665771568442471,2.747156338394659e-08,0.7537738047927942,2.747156338394659e-08,0.0856520386839195
2.747723862640134e-08,-0.000703947439781196,2.747723862640134e-08,0.01455481848694634,2.747723862640134e-08,-0.1757823766774536,2.747723862640134e-08,0.7558580129229537,2.747723862640134e-08,0.08615047669864329
2.74835280177562e-08,-0.0004981322024721671,2.74835280177562e-08,0.005730738641383504,2.74835280177562e-08,-0.180135271091995,2.74835280177562e-08,0.7581468378927639,2.74835280177562e-08,0.08671162338813525
2.748999839656275e-08,-0.0003777728541182212,2.748999839656275e-08,0.002296675333189093,2.748999839656275e-08,-0.1818267492959448,2.748999839656275e-08,0.7604813899897152,2.748999839656275e-08,0.0872640527178459
2.749770882273665e-08,-0.0003015515119895044,2.749770882273665e-08,0.0008280629358205236,2.749770882273665e-08,-0.182559131378453,2.749770882273665e-08,0.7632405905507333,2.749770882273665e-08,0.08789269855861077
2.750772921182652e-08,-0.0002414515106754698,2.750772921182652e-08,0.0002552768387049462,2.750772921182652e-08,-0.1828584946615019,2.750772921182652e-08,0.7660119157253489,2.750772921182652e-08,0.08836033487727318
2.751789061595865e-08,-0.0001823270500764378,2.751789061595865e-08,9.314499052273205e-05,2.751789061595865e-08,-0.1829508072329838,2.751789061595865e-08,0.7680938802050046,2.751789061595865e-08,0.08838055665941265
2.752912629066225e-08,-9.140815401096977e-05,2.752912629066225e-08,3.803745374355205e-05,2.752912629066225e-08,-0.182975288047552,2.752912629066225e-08,0.7704171639340328,2.752912629066225e-08,0.0879211955589746
2.75427057432459e-08,8.318833892597286e-05,2.75427057432459e-08,2.042112613605458e-05,2.75427057432459e-08,-0.1829446199549446,2.75427057432459e-08,0.7731268226660628,2.75427057432459e-08,0.0873305074840804
2.756302129948045e-08,0.000581694999584673,2.756302129948045e-08,1.468534282860733e-05,2.756302129948045e-08,-0.1827638129227143,2.756302129948045e-08,0.777078563084888,2.756302129948045e-08,0.08616667621961081
2.759413077805743e-08,0.002454255881966308,2.759413077805743e-08,1.244948350597384e-05,2.759413077805743e-08,-0.181918667884649,2.759413077805743e-08,0.7828647341368916,2.759413077805743e-08,0.08309798085252645
2.76e-08,0.003021610535746782,2.76e-08,1.317092819270664e-05,2.76e-08,-0.1816504976488094,2.76e-08,0.7839281755797829,2.76e-08,0.08250349278909386
