/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
5.977123502165932e-09,0.2215854822877619,5.917041641086635e-09,0.07805007303317607,5.850131809316714e-09,0.02040993798515001,5.743565238909084e-09,0.0006174233631818913,5.625509569909626e-09,-0.0002577136487314061,5.977123502165932e-09,1.175293382339206,5.917041641086635e-09,1.2,5.850131809316714e-09,1.2,5.743565238909084e-09,1.2,5.625509569909626e-09,1.2
6e-09,0.3131275417857713,5.9455949800017e-09,0.1277214241104569,5.887039890778473e-09,0.04418251241238735,5.774240471286632e-09,0.002366865142387802,5.640428668896923e-09,-0.0002480350490772112,6e-09,1.2,5.9455949800017e-09,1.2,5.887039890778473e-09,1.2,5.774240471286632e-09,1.2,5.640428668896923e-09,1.2
6.014812391668266e-09,0.3831563830051606,5.97172087883361e-09,0.2001844283761853,5.940320717834254e-09,0.118422567908956,5.829869204206096e-09,0.01276469833486766,5.667658440237687e-09,-0.0002172771156253746,6.014812391668266e-09,1.2,5.97172087883361e-09,1.2,5.940320717834254e-09,1.2,5.829869204206096e-09,1.2,5.667658440237687e-09,1.2
6.033078656533777e-09,0.4727841709709108,5.998730223665681e-09,0.3043823617817006,5.981367813320403e-09,0.2353508135749997,5.896500514367347e-09,0.05327260840173284,5.714375797916261e-09,4.293940569789046e-05,6.033078656533777e-09,1.2,5.998730223665681e-09,1.2,5.981367813320403e-09,1.2,5.896500514367347e-09,1.2,5.714375797916261e-09,1.2
6.050869161848573e-09,0.5642854837110002,6.028216893575157e-09,0.4425289532569621,6.016751369875521e-09,0.3869146505202136,5.953948071821718e-09,0.1501682740931644,5.795007420451798e-09,0.005096441249135977,6.050869161848573e-09,1.2,6.028216893575157e-09,1.2,6.016751369875521e-09,1.2,5.953948071821718e-09,1.2,5.795007420451798e-09,1.2
6.086450172478164e-09,0.7408733021616887,6.060756548502198e-09,0.609442091675009,6.048352690465053e-09,0.5454958929623979,5.997439457647087e-09,0.2977453617245326,5.860365075880844e-09,0.02596307933837215,6.086450172478164e-09,1.2,6.060756548502198e-09,1.2,6.048352690465053e-09,1.2,5.997439457647087e-09,1.2,5.860365075880844e-09,1.2
6.112325866818685e-09,0.8299985464217564,6.091346311926775e-09,0.7572300545683561,6.080515196465e-09,0.7098751647604546,6.034041716190128e-09,0.4704299828041637,5.931089596632082e-09,0.1019781493412175,6.112325866818685e-09,1.2,6.091346311926775e-09,1.2,6.080515196465e-09,1.2,6.034041716190128e-09,1.2,5.931089596632082e-09,1.2
6.133071347922022e-09,0.8631479827161871,6.117898925376597e-09,0.8398018117600732,6.10977283433881e-09,0.8203741523808068,6.052342845461648e-09,0.5650626848452321,5.982674412122928e-09,0.2423500210842104,6.133071347922022e-09,1.2,6.117898925376597e-09,1.2,6.10977283433881e-09,1.2,6.052342845461648e-09,1.2,5.982674412122928e-09,1.2
6.156742681830905e-09,0.8802795928863688,6.138295099392721e-09,0.8672055884519584,6.131060418926973e-09,0.8596783118254417,6.082900789795476e-09,0.7203353891722095,6.021166286665367e-09,0.4103308003322444,6.156742681830905e-09,1.2,6.138295099392721e-09,1.2,6.131060418926973e-09,1.2,6.082900789795476e-09,1.2,6.021166286665367e-09,1.2
6.177134342112401e-09,0.8876689887693088,6.158258165126563e-09,0.8803087093779395,6.153998495593243e-09,0.8783693714266793,6.110209910580957e-09,0.8216639684440402,6.06441393690399e-09,0.6310665088465174,6.177134342112401e-09,1.2,6.158258165126563e-09,1.2,6.153998495593243e-09,1.2,6.110209910580957e-09,1.2,6.06441393690399e-09,1.2
6.200984937659195e-09,0.8927850369182969,6.178098324906078e-09,0.8875934460415527,6.176815043538709e-09,0.8873299742510726,6.130518616099076e-09,0.8588610386306897,6.097087706861135e-09,0.7808584085602892,6.200984937659195e-09,1.2,6.178098324906078e-09,1.2,6.176815043538709e-09,1.2,6.130518616099076e-09,1.2,6.097087706861135e-09,1.2
6.233251841680853e-09,0.8964572717564158,6.202662353544253e-09,0.8928701467226002,6.199340661936973e-09,0.8923536206349548,6.153359396890218e-09,0.8779648617648703,6.122950672380826e-09,0.8499309509540345,6.233251841680853e-09,1.2,6.202662353544253e-09,1.2,6.199340661936973e-09,1.2,6.153359396890218e-09,1.2,6.122950672380826e-09,1.2
