/out1 (G=1) X,/out1 (G=1) Y,/out1 (G=3) X,/out1 (G=3) Y,/out1 (G=5) X,/out1 (G=5) Y,/out1 (G=7) X,/out1 (G=7) Y,/out1 (G=9) X,/out1 (G=9) Y
1.58652584695083e-08,1.33566661807876e-05,1.306312481640337e-08,0.0001606732185496697,9.33951642887365e-09,0.004324385340298852,7.576760753492738e-09,0.01810212667835695,5.056468824722984e-09,0.07614721808951289
1.68652584695083e-08,2.159479333068393e-05,1.406312481640337e-08,7.173294075128914e-05,1.033951642887365e-08,0.002254578528595682,8.576760753492739e-09,0.01005190113192831,5.266728660880499e-09,0.07537703437712941
1.78652584695083e-08,3.356836958526306e-05,1.506312481640337e-08,4.369948334530395e-05,1.133951642887365e-08,0.001132639947147922,9.57676075349274e-09,0.005359880961666474,5.403367589840019e-09,0.07489803245077534
1.88652584695083e-08,4.716075274976425e-05,1.606312481640337e-08,5.000352927067025e-05,1.233951642887365e-08,0.0005427142803455171,1.057676075349274e-08,0.002785297440680194,5.641499563193896e-09,0.06880050100295826
1.98652584695083e-08,6.195084897797848e-05,1.706312481640337e-08,7.546712762016572e-05,1.333951642887365e-08,0.0002485707880815791,1.157676075349274e-08,0.001396133148034293,5.913831393210353e-09,0.05870925479592267
2.08652584695083e-08,7.586928448686243e-05,1.806312481640337e-08,0.0001107667480495617,1.433951642887365e-08,0.0001221715310693881,1.257676075349274e-08,0.0006699446941169349,6.285906489844585e-09,0.04750059058077585
2.18652584695083e-08,9.043018563749207e-05,1.906312481640337e-08,0.0001511741268700523,1.533951642887365e-08,8.52934639230919e-05,1.357676075349274e-08,0.00031476259771375,6.647913173497456e-09,0.03859109326940838
2.28652584695083e-08,0.0001061939143545093,2.006312481640336e-08,0.000194724307792441,1.633951642887365e-08,0.0001035094277176649,1.457676075349274e-08,0.0001664792138316521,7.371926540803196e-09,0.02551507084147294
2.38652584695083e-08,0.0001218841836276131,2.106312481640336e-08,0.0002400952700479426,1.733951642887365e-08,0.0001470110750935788,1.557676075349274e-08,0.0001338239581261419,8.371926540803197e-09,0.01430595816122832
2.48652584695083e-08,0.0001369824927240772,2.206312481640336e-08,0.0002856639777020588,1.833951642887365e-08,0.0002077561021605989,1.657676075349274e-08,0.0001650528704208836,9.371926540803198e-09,0.007660545311690322
2.586525846950829e-08,0.0001521717450919193,2.306312481640336e-08,0.0003308881549261513,1.933951642887365e-08,0.0002755663989445848,1.757676075349274e-08,0.0002318615174254664,1.03719265408032e-08,0.004006692206301567
2.686525846950829e-08,0.0001669854105573561,2.406312481640336e-08,0.00037621864205846,2.033951642887365e-08,0.0003483878344929774,1.857676075349274e-08,0.0003177433076946676,1.13719265408032e-08,0.00202647093108151
2.698262923475415e-08,0.0001716778382359141,2.506312481640336e-08,0.0004214226804013343,2.133951642887365e-08,0.0004228900776974798,1.957676075349274e-08,0.0004141481379845811,1.23719265408032e-08,0.0009839858076190096
2.702900468428881e-08,0.0002457140188097997,2.606312481640336e-08,0.0004663362882156985,2.233951642887365e-08,0.0004987569004647598,2.057676075349274e-08,0.0005156168555701635,1.33719265408032e-08,0.0004650734532080536
2.712175558335813e-08,0.0005346343744629013,2.658032872584314e-08,0.0004932746546480762,2.333951642887365e-08,0.0005732830460972432,2.157676075349274e-08,0.0006197980602017388,1.43719265408032e-08,0.000239657759538557
2.71663166875186e-08,0.0007587150509486961,2.684016436292158e-08,0.000500688060752279,2.433951642887365e-08,0.0006490530757777004,2.257676075349274e-08,0.0007246944876940595,1.53719265408032e-08,0.0001770207294602624
2.71831583437593e-08,0.0008434052711453907,2.697008218146079e-08,0.0005043947638043804,2.533951642887364e-08,0.0007235220120229708,2.357676075349274e-08,0.000829900003605716,1.63719265408032e-08,0.000205870579856173
2.72e-08,0.0009280954913420857,2.70350410907304e-08,0.000767861713169862,2.633951642887364e-08,0.0007981820653013283,2.457676075349274e-08,0.0009342182846127095,1.73719265408032e-08,0.000284348266822818
2.720325e-08,0.001025688492986675,2.711214866614482e-08,0.001438334756213686,2.671975821443683e-08,0.0007813883113157427,2.557676075349273e-08,0.001038529630298138,1.83719265408032e-08,0.0003910011458931937
2.720975e-08,0.001220874496275855,2.715607433307241e-08,0.00209901850753784,2.690987910721842e-08,0.0008027635717960905,2.657676075349273e-08,0.001142117616534405,1.93719265408032e-08,0.0005118275072108269
2.722275e-08,0.001611246502854214,2.72e-08,0.002759702258861993,2.700493955360921e-08,0.000900251252685563,2.683838037674637e-08,0.001175842341603566,2.03719265408032e-08,0.0006410236338724466
2.724707843413332e-08,0.002341795706664194,2.720325e-08,0.003052335345721989,2.704034779247735e-08,0.001354260642386662,2.696919018837319e-08,0.001192704704138148,2.137192654080319e-08,0.0007733137433740323
2.728233540482978e-08,0.003400513737175753,2.720975e-08,0.003637601519441982,2.70876131260824e-08,0.001960303358715037,2.70345950941866e-08,0.001803798151178729,2.237192654080319e-08,0.0009078137267766763
2.729861875931374e-08,0.003889480334385788,2.722275e-08,0.004808133866881969,2.713487845968745e-08,0.003002326821136553,2.710805993842418e-08,0.003230273750037698,2.337192654080319e-08,0.001041976348622825
2.73074968458039e-08,0.004231045441481595,2.723917291975496e-08,0.006286869160157624,2.716743922984373e-08,0.003826835195822144,2.715402996921209e-08,0.004835862201398989,2.437192654080319e-08,0.001176467653992776
2.731850229418238e-08,0.004671578307327899,2.726098903108932e-08,0.008251212545713179,2.72e-08,0.004651343570507735,2.72e-08,0.006441450652760279,2.537192654080319e-08,0.001309590889455362
2.734051319093933e-08,0.00555264403902051,2.730370841172434e-08,0.0122089585048188,2.720325e-08,0.005139890524936997,2.720325e-08,0.007123712921024831,2.637192654080319e-08,0.001442501960114141
2.737614909148308e-08,0.006976592254178487,2.73134538550406e-08,0.01337881077675448,2.720975000000001e-08,0.006116984433796354,2.720975e-08,0.00848823745755394,2.67359632704016e-08,0.00146421552233925
2.739396704175496e-08,0.007685717568475026,2.73294202528447e-08,0.0152954323340924,2.722275000000002e-08,0.008068489861272597,2.722275e-08,0.01121728653061215,2.69179816352008e-08,0.001487238494451459
2.740287601689089e-08,0.007953999718896513,2.73613530484529e-08,0.0191267211204211,2.723697544289836e-08,0.01019413455810751,2.723496386283856e-08,0.01378130430430478,2.70089908176004e-08,0.001718082299101873
2.740855084408856e-08,0.008009603755316071,2.739163118290184e-08,0.02275854444858569,2.725535495545e-08,0.01294050341741077,2.72503425170764e-08,0.01700969677297148,2.704807433526194e-08,0.002606120005776151
2.741422567128624e-08,0.008065207791735628,2.739917242391571e-08,0.02366310661980103,2.72893225655227e-08,0.01801613239649993,2.727846883724027e-08,0.02291416661695106,2.712624137058502e-08,0.004972626257287664
2.742557532568158e-08,0.008176415864574743,2.740294304442265e-08,0.02385051370737046,2.730309801842741e-08,0.02022943801027037,2.72957256936e-08,0.02653684414406012,2.716312068529251e-08,0.006640365659473105
2.744359299445189e-08,0.008352959585749402,2.740777039022647e-08,0.02399508651239747,2.731709607558435e-08,0.02302100832439821,2.730652572582462e-08,0.0292608617157519,2.72e-08,0.008308105061658548
2.747962833199252e-08,0.008706047028098721,2.741529425407403e-08,0.02422041656855844,2.73300252717285e-08,0.02559942043808532,2.732812579027386e-08,0.035307299755136,2.720325e-08,0.009186325066391604
2.75152173800358e-08,0.008820882961412176,2.742485227031791e-08,0.02450666687566887,2.735510545709585e-08,0.03060105031853111,2.734133704927849e-08,0.03900630173004654,2.720975000000001e-08,0.01094276507585921
