/I7/MINUS (iin=2e-05) X,/I7/MINUS (iin=2e-05) Y,/I7/MINUS (iin=4e-05) X,/I7/MINUS (iin=4e-05) Y,/I7/MINUS (iin=6e-05) X,/I7/MINUS (iin=6e-05) Y,/I7/MINUS (iin=8e-05) X,/I7/MINUS (iin=8e-05) Y,/vin (iin=2e-05) X,/vin (iin=2e-05) Y,/vin (iin=4e-05) X,/vin (iin=4e-05) Y,/vin (iin=6e-05) X,/vin (iin=6e-05) Y,/vin (iin=8e-05) X,/vin (iin=8e-05) Y,/v_preamp (iin=2e-05) X,/v_preamp (iin=2e-05) Y,/v_preamp (iin=4e-05) X,/v_preamp (iin=4e-05) Y,/v_preamp (iin=6e-05) X,/v_preamp (iin=6e-05) Y,/v_preamp (iin=8e-05) X,/v_preamp (iin=8e-05) Y,/CFD_shaped (iin=2e-05) X,/CFD_shaped (iin=2e-05) Y,/CFD_shaped (iin=4e-05) X,/CFD_shaped (iin=4e-05) Y,/CFD_shaped (iin=6e-05) X,/CFD_shaped (iin=6e-05) Y,/CFD_shaped (iin=8e-05) X,/CFD_shaped (iin=8e-05) Y
1.351e-09,-2e-05,1.302080728854342e-09,-3.452351186906766e-05,1.270426440900673e-09,-4.635881844011535e-05,1.24342889853254e-09,-5.564089109315204e-05,1.351e-09,0.74409215660256,1.302080728854342e-09,0.7483707747869611,1.270426440900673e-09,0.7522354022224695,1.24342889853254e-09,0.7554832174007288,1.351e-09,0.07288861906484011,1.302080728854342e-09,0.09378305409736304,1.270426440900673e-09,0.1055664166317665,1.24342889853254e-09,0.1095149359996965,1.351e-09,0.02155345885617119,1.302080728854342e-09,0.02755498958037384,1.270426440900673e-09,0.03092451141582326,1.24342889853254e-09,0.03203314721192166
1.353e-09,-1.996521739130434e-05,1.35e-09,-4e-05,1.31814117208989e-09,-5.453848664398117e-05,1.272677327413118e-09,-6.232624626585565e-05,1.353e-09,0.74407750715244,1.35e-09,0.7476335207745268,1.31814117208989e-09,0.7518797278564096,1.272677327413118e-09,0.7560650163715685,1.353e-09,0.07326540136248483,1.35e-09,0.111977957591871,1.31814117208989e-09,0.1338245915076233,1.272677327413118e-09,0.1326075914366558,1.353e-09,0.02166234406635836,1.35e-09,0.03283906050635318,1.31814117208989e-09,0.0391141020581964,1.272677327413118e-09,0.0387083083786644
1.357000000000001e-09,-1.989565217391303e-05,1.351e-09,-4e-05,1.35e-09,-6e-05,1.305767310478578e-09,-6.988967096653218e-05,1.357000000000001e-09,0.7440424236524699,1.351e-09,0.7476025826139517,1.35e-09,0.7509219202903861,1.305767310478578e-09,0.7557820215597351,1.357000000000001e-09,0.07399576767338434,1.351e-09,0.1123498901954744,1.35e-09,0.1500733496290737,1.305767310478578e-09,0.1578482248392793,1.357000000000001e-09,0.02187475047419448,1.351e-09,0.03294542850471362,1.35e-09,0.04384989743974468,1.305767310478578e-09,0.04603721310872045
1.363509454547447e-09,-1.978244426874005e-05,1.353e-09,-3.993043478260868e-05,1.351e-09,-6e-05,1.331283421184524e-09,-7.572192484217701e-05,1.363509454547447e-09,0.7439606490713154,1.353e-09,0.7475483415438907,1.351e-09,0.7508835598131893,1.331283421184524e-09,0.7551158217072902,1.363509454547447e-09,0.07513347022944251,1.353e-09,0.1130612257752886,1.351e-09,0.1505233837698892,1.331283421184524e-09,0.1742068984232574,1.363509454547447e-09,0.02220626960911312,1.353e-09,0.03315199448967652,1.351e-09,0.04398079842018861,1.331283421184524e-09,0.05081009802697766
1.374169576217326e-09,-1.959705084839433e-05,1.357000000000001e-09,-3.979130434782606e-05,1.353e-09,-5.989565217391303e-05,1.35e-09,-8.000000000000001e-05,1.374169576217326e-09,0.7437863406851252,1.357000000000001e-09,0.7474301039152441,1.353e-09,0.7508067617468601,1.35e-09,0.7545626255497894,1.374169576217326e-09,0.07691121717352854,1.357000000000001e-09,0.1144429075693233,1.353e-09,0.1513911630751851,1.35e-09,0.1834619126922791,1.374169576217326e-09,0.02272333116524745,1.357000000000001e-09,0.03355484024405679,1.353e-09,0.04423455953988369,1.35e-09,0.05352556980743907
1.395489819557083e-09,-1.92262640077029e-05,1.362850255759672e-09,-3.958781719096795e-05,1.357000000000001e-09,-5.968695652173909e-05,1.351e-09,-8.000000000000001e-05,1.395489819557083e-09,0.743281677399377,1.362850255759672e-09,0.7472231277120074,1.357000000000001e-09,0.7506426605907426,1.351e-09,0.7545320227231351,1.395489819557083e-09,0.08004453131370179,1.362850255759672e-09,0.1163530043864033,1.357000000000001e-09,0.153071869143861,1.351e-09,0.1838855735910446,1.395489819557083e-09,0.02363742585311757,1.362850255759672e-09,0.03411306106307126,1.357000000000001e-09,0.04472693876584947,1.351e-09,0.05364965655042848
1.424486177991563e-09,-1.872197951319022e-05,1.373211533956155e-09,-3.922742490587289e-05,1.363512409860672e-09,-5.934717861596497e-05,1.353e-09,-7.986086956521737e-05,1.424486177991563e-09,0.7423510562544336,1.373211533956155e-09,0.7467915703066289,1.363512409860672e-09,0.7503352152060965,1.353e-09,0.7544690130633267,1.424486177991563e-09,0.08312484990210869,1.373211533956155e-09,0.1194586660600937,1.363512409860672e-09,0.1555899596934083,1.353e-09,0.1846995994934969,1.424486177991563e-09,0.02454149081992519,1.373211533956155e-09,0.03502056099299863,1.363512409860672e-09,0.04546614676934202,1.353e-09,0.05388894194160128
1.482478894860521e-09,-1.771341052416486e-05,1.393934090349121e-09,-3.850664033568276e-05,1.376537229582013e-09,-5.866762280441672e-05,1.357000000000001e-09,-7.958260869565212e-05,1.482478894860521e-09,0.7402394655823643,1.393934090349121e-09,0.745699104850298,1.376537229582013e-09,0.7496074239972796,1.357000000000001e-09,0.7543337389401424,1.482478894860521e-09,0.08384374378472592,1.393934090349121e-09,0.1244436545843396,1.376537229582013e-09,0.159836112208535,1.357000000000001e-09,0.1862642768694638,1.482478894860521e-09,0.02478043149176535,1.393934090349121e-09,0.0364838031300739,1.376537229582013e-09,0.04671572890392855,1.357000000000001e-09,0.05434959495504887
1.538137988051641e-09,-1.674542629475408e-05,1.420344434497746e-09,-3.758801966964363e-05,1.402586869024696e-09,-5.730851118132022e-05,1.364611233064419e-09,-7.905313161290999e-05,1.538137988051641e-09,0.7386795015219729,1.420344434497746e-09,0.7440237709901937,1.402586869024696e-09,0.747831001551034,1.364611233064419e-09,0.7540299734622131,1.538137988051641e-09,0.07771668516556095,1.420344434497746e-09,0.128096082424998,1.402586869024696e-09,0.1650996384481337,1.364611233064419e-09,0.1889004693793613,1.538137988051641e-09,0.02298846268300121,1.420344434497746e-09,0.03757042343451077,1.402586869024696e-09,0.04828134889491879,1.364611233064419e-09,0.05512794578075893
1.604889040738357e-09,-1.558453842194161e-05,1.473165122794996e-09,-3.575077833756535e-05,1.454686147910062e-09,-5.459028793512722e-05,1.379833699193255e-09,-7.799417744742572e-05,1.604889040738357e-09,0.7383442184285088,1.473165122794996e-09,0.740668273400173,1.454686147910062e-09,0.7440102953810362,1.379833699193255e-09,0.7532830169057448,1.604889040738357e-09,0.06539742385892069,1.473165122794996e-09,0.1257057698424043,1.454686147910062e-09,0.1639074250923058,1.379833699193255e-09,0.1929113204291078,1.604889040738357e-09,0.01913361325301154,1.473165122794996e-09,0.03693633329584213,1.454686147910062e-09,0.048006652186485,1.379833699193255e-09,0.05631762316826208
1.65209244600977e-09,-1.47636096346127e-05,1.510739030037019e-09,-3.444385982479934e-05,1.491599661721793e-09,-5.266436547538471e-05,1.40675521529861e-09,-7.612137632705324e-05,1.65209244600977e-09,0.7391726800578993,1.510739030037019e-09,0.7388754412425819,1.491599661721793e-09,0.7417210633817365,1.40675521529861e-09,0.751662113124235,1.65209244600977e-09,0.05671040689501142,1.510739030037019e-09,0.1169402271032536,1.491599661721793e-09,0.1552988068480158,1.40675521529861e-09,0.1963613534830966,1.65209244600977e-09,0.01594750145802568,1.510739030037019e-09,0.03442585408962485,1.491599661721793e-09,0.04554586597476216,1.40675521529861e-09,0.05735947421379795
1.696372826458918e-09,-1.399351606158404e-05,1.555672499453225e-09,-3.288095654075738e-05,1.531614132838524e-09,-5.057665393885959e-05,1.439528342653859e-09,-7.38415065979924e-05,1.696372826458918e-09,0.7404489097057613,1.555672499453225e-09,0.738045304602725,1.531614132838524e-09,0.7402304441955029,1.439528342653859e-09,0.749486172280842,1.696372826458918e-09,0.05087620966154377,1.555672499453225e-09,0.1019494222318954,1.531614132838524e-09,0.1416306644206895,1.439528342653859e-09,0.1954755501792482,1.696372826458918e-09,0.01333587112399801,1.555672499453225e-09,0.03004251200856351,1.531614132838524e-09,0.04157906482761916,1.439528342653859e-09,0.05714093410487976
1.74594843352783e-09,-1.313133159082036e-05,1.592486166400209e-09,-3.160048116868838e-05,1.567591460646472e-09,-4.869957596627102e-05,1.473302215558919e-09,-7.149201978720563e-05,1.74594843352783e-09,0.741920445589285,1.592486166400209e-09,0.7385303605375443,1.567591460646472e-09,0.7399271087535743,1.473302215558919e-09,0.7473449626510352,1.74594843352783e-09,0.04803197881267777,1.592486166400209e-09,0.08874663914522996,1.567591460646472e-09,0.1276900319692933,1.473302215558919e-09,0.1903079832541763,1.74594843352783e-09,0.01094245477402072,1.592486166400209e-09,0.02593723503497402,1.567591460646472e-09,0.03744492917268179,1.473302215558919e-09,0.05566932294520763
