/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
1.789913953305474e-09,1.669128251007899e-06,1.716051765462486e-09,2.381179409928997e-06,1.760257472969489e-09,1.903833638663647e-06,1.822042582234657e-09,-3.791107686063046e-06,1.844026934429098e-09,-3.598131685093207e-05,1.795791508412048e-09,6.31382148331104e-07,1.789913953305474e-09,0.473948371983284,1.716051765462486e-09,0.4336310592774914,1.760257472969489e-09,0.4641544837816931,1.822042582234657e-09,0.5052255493407942,1.844026934429098e-09,0.5224161606574588,1.795791508412048e-09,0.4974749050472289
1.839352343646209e-09,-5.080056401609233e-06,1.763134535891489e-09,1.641384635709197e-06,1.830950245391023e-09,-5.095629248891218e-06,1.856877991885989e-09,-0.000112620884099353,1.888218716942422e-09,-0.0002242984313280482,1.833504328743979e-09,-6.30667901164082e-05,1.839352343646209e-09,0.5036114061877254,1.763134535891489e-09,0.4618807215348931,1.830950245391023e-09,0.5065701472346135,1.856877991885989e-09,0.5261267951315937,1.888218716942422e-09,0.5489312301654529,1.833504328743979e-09,0.5201025972463875
1.873717347659527e-09,-9.790766635325922e-05,1.837127634344178e-09,-3.584765595843795e-06,1.867463295208175e-09,-0.0001264890118658696,1.896285715312314e-09,-0.0001879729588654382,1.916858709710676e-09,-0.0001536218721335319,1.882416579125539e-09,-0.0002072853820650139,1.873717347659527e-09,0.5242304085957162,1.837127634344178e-09,0.5062765806065068,1.867463295208175e-09,0.5284779771249049,1.896285715312314e-09,0.5497714291873881,1.916858709710676e-09,0.5661152258264055,1.882416579125539e-09,0.5494499474753235
1.912402535792711e-09,-0.0001920273393683786,1.873872365855924e-09,-0.0001258913888016667,1.908040892859887e-09,-0.000184105007914146,1.918151801953322e-09,-0.0001692313572089647,1.947044281135056e-09,-0.0002170329946471588,1.907841304728663e-09,-0.0001620805350118333,1.912402535792711e-09,0.5474415214756265,1.873872365855924e-09,0.5283234195135542,1.908040892859887e-09,0.5528245357159323,1.918151801953322e-09,0.5628910811719933,1.947044281135056e-09,0.5842265686810337,1.907841304728663e-09,0.564704782837198
1.935051986114304e-09,-0.0001656558827057875,1.914857973653249e-09,-0.0001844837029837898,1.93076902362413e-09,-0.000174751289529868,1.944687212403783e-09,-0.0002042804959942,1.971247615721234e-09,-0.0001958385246116227,1.934756406431871e-09,-0.0002101098466795715,1.935051986114304e-09,0.5610311916685821,1.914857973653249e-09,0.5529147841919493,1.93076902362413e-09,0.5664614141744778,1.944687212403783e-09,0.5788123274422696,1.971247615721234e-09,0.5987485694327405,1.934756406431871e-09,0.5808538438591224
1.961551231948092e-09,-0.0002023236138527695,1.93725082588108e-09,-0.0001745249239872809,1.956981559623278e-09,-0.0002079938853373986,1.967505174768589e-09,-0.0002080092877042163,2e-09,-9.060442126704515e-05,1.958193762023896e-09,-0.0002042620381891452,1.961551231948092e-09,0.576930739168855,1.93725082588108e-09,0.5663504955286481,1.956981559623278e-09,0.5821889357739669,1.967505174768589e-09,0.5925031048611532,2e-09,0.616,1.958193762023896e-09,0.5949162572143373
1.980775615974046e-09,-0.0002096178247121372,1.963486944207868e-09,-0.0002078449118514729,1.980046007519276e-09,-0.0002037465955752442,2e-09,-0.0001223513794237353,2.016522271146356e-09,8.556702109798863e-05,1.979096881011948e-09,-0.0001608234367885358,1.980775615974046e-09,0.5884653695844275,1.963486944207868e-09,0.582092166524721,1.980046007519276e-09,0.5960276045115653,2e-09,0.612,2.016522271146356e-09,0.616,1.979096881011948e-09,0.6074581286071684
2e-09,-0.0001917635106254114,1.981743472103934e-09,-0.0002082634518250114,2e-09,-0.0001569731677102214,2.024217729502593e-09,0.0001268972171340306,2.03898989785219e-09,0.0005339504174545458,2e-09,-3.125096873805043e-05,2e-09,0.6,1.981743472103934e-09,0.5930460832623605,2e-09,0.608,2.024217729502593e-09,0.612,2.03898989785219e-09,0.616,2e-09,0.62
2.015031318703775e-09,-0.0001389209975828394,2e-09,-0.000178917574807346,2.014998641436535e-09,-6.44405796511908e-05,2.04955311035214e-09,0.0006992063304693761,2.061268848187624e-09,0.001537960116862688,2.015636228420337e-09,0.0001868173585060043,2.015031318703775e-09,0.6,2e-09,0.604,2.014998641436535e-09,0.608,2.04955311035214e-09,0.612,2.061268848187624e-09,0.616,2.015636228420337e-09,0.62
2.033794140410107e-09,-1.739780279946247e-05,2.014536984913167e-09,-0.0001134297862721146,2.034407575414807e-09,0.0001474971128825683,2.075153037012464e-09,0.002140882201025184,2.105826748858491e-09,0.007155456929369388,2.035269280304058e-09,0.0006533863299310294,2.033794140410107e-09,0.6,2.014536984913167e-09,0.604,2.034407575414807e-09,0.608,2.075153037012464e-09,0.612,2.105826748858491e-09,0.616,2.035269280304058e-09,0.62
