/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
2e-09,8.959762295070753e-07,2e-09,1.156457601645902e-06,2e-09,1.394176738278549e-06,2e-09,1.13760050568616e-06,2.029382680742959e-09,4.909387018079963e-07,2.029485589167952e-09,4.395438298360667e-07,2e-09,0.4,2e-09,0.404,2e-09,0.408,2e-09,0.412,2.029382680742959e-09,0.416,2.029485589167952e-09,0.42
2.025546525165258e-09,5.872131924948717e-07,2.029386922361573e-09,5.357316778140445e-07,2.031145630530589e-09,4.758700479523306e-07,2.029099023608021e-09,5.135390572285828e-07,2.062834449352531e-09,-4.475903027966861e-07,2.064425867358316e-09,-7.680345632621546e-07,2.025546525165258e-09,0.4,2.029386922361573e-09,0.404,2.031145630530589e-09,0.408,2.029099023608021e-09,0.412,2.062834449352531e-09,0.416,2.064425867358316e-09,0.42
2.054301319228861e-09,2.207540844946071e-07,2.06567762404578e-09,1.931873443079286e-08,2.071248302147241e-09,-1.791834073417003e-07,2.063503983234714e-09,-2.555354167287639e-07,2.095873656630928e-09,-1.29293198531083e-06,2.098710169763772e-09,-1.635501994893253e-06,2.054301319228861e-09,0.4,2.06567762404578e-09,0.404,2.071248302147241e-09,0.408,2.063503983234714e-09,0.412,2.095873656630928e-09,0.416,2.098710169763772e-09,0.42
2.083125960550369e-09,-4.471227792661103e-07,2.100811872253518e-09,-6.267636954003807e-07,2.110683041174314e-09,-8.359269022001178e-07,2.097313788047513e-09,-1.040841538078434e-06,2.151984548461775e-09,-1.096786044679091e-06,2.155448976434713e-09,-1.809887073092941e-06,2.083125960550369e-09,0.4,2.100811872253518e-09,0.404,2.110683041174314e-09,0.408,2.097313788047513e-09,0.412,2.151984548461775e-09,0.416,2.155448976434713e-09,0.42
2.1368952378702e-09,1.7487017062979e-07,2.159233997206253e-09,8.279050601089914e-08,2.171430691024163e-09,-1.856990351051858e-07,2.153955651756689e-09,-5.968999709834993e-07,2.221111287677629e-09,-1.854562897272328e-06,2.225797056854647e-09,-2.998666528177668e-06,2.1368952378702e-09,0.4,2.159233997206253e-09,0.404,2.171430691024163e-09,0.408,2.153955651756689e-09,0.412,2.221111287677629e-09,0.416,2.225797056854647e-09,0.42
2.199990518727797e-09,-1.306705513456003e-08,2.230656702589553e-09,-2.757510236482096e-07,2.247715628453746e-09,-6.718580239103433e-07,2.223649183263069e-09,-1.149000444372793e-06,2.306489409145869e-09,-2.533112961945433e-06,2.310288154321536e-09,-5.05378708090278e-06,2.199990518727797e-09,0.4,2.230656702589553e-09,0.404,2.247715628453746e-09,0.408,2.223649183263069e-09,0.412,2.306489409145869e-09,0.416,2.310288154321536e-09,0.42
2.28562456329246e-09,3.904648745131615e-07,2.317875910651119e-09,1.298870689421979e-07,2.335756690902749e-09,-4.095756305927894e-07,2.309556131177102e-09,-1.192934100916295e-06,2.407417630811807e-09,-4.594747545605985e-06,2.41144053837124e-09,-1.061353091458805e-05,2.28562456329246e-09,0.4,2.317875910651119e-09,0.404,2.335756690902749e-09,0.408,2.309556131177102e-09,0.412,2.407417630811807e-09,0.416,2.41144053837124e-09,0.42
2.385255397554281e-09,2.997205957601737e-07,2.424477190428058e-09,-1.137108657193527e-07,2.445558436496008e-09,-9.098757778170883e-07,2.412083490115669e-09,-2.106226129330785e-06,2.52994658037838e-09,-9.517210062869799e-06,2.534040261409798e-09,-2.679996919244749e-05,2.385255397554281e-09,0.4,2.424477190428058e-09,0.404,2.445558436496008e-09,0.408,2.412083490115669e-09,0.412,2.52994658037838e-09,0.416,2.534040261409798e-09,0.42
2.507588953793387e-09,4.906427287994017e-07,2.555108025682775e-09,-1.81045849366882e-08,2.580021041463191e-09,-1.266552348353289e-06,2.536823244941274e-09,-3.493304357760504e-06,2.688064774418485e-09,-2.485707055934099e-05,2.682353721799241e-09,-8.633889634195971e-05,2.507588953793387e-09,0.4,2.555108025682775e-09,0.404,2.580021041463191e-09,0.408,2.536823244941274e-09,0.412,2.688064774418485e-09,0.416,2.682353721799241e-09,0.42
2.664026968862499e-09,4.035681113901437e-07,2.725273954553886e-09,-3.501531088506851e-07,2.756406613241906e-09,-2.589110093333024e-06,2.697881813503572e-09,-7.65455853348178e-06,2.809569216931136e-09,-5.911966714284879e-05,2.788403463170937e-09,-7.823490781028426e-05,2.664026968862499e-09,0.4,2.725273954553886e-09,0.404,2.756406613241906e-09,0.408,2.697881813503572e-09,0.412,2.809569216931136e-09,0.416,2.788403463170937e-09,0.42
